Agemos,Male_L,Male_M,Male_S,Female_L,Female_M,Female_S
171.5,1.860518777,165.8770715,0.048267442,0.922058291,160.9448916,0.040669052
172,1.888642151,166.1503401,0.048144336,0.918035467,161.0128387,0.04062117
172.5,1.916765525,166.4236087,0.04802123,0.914012643,161.0807857,0.040573288
173,1.942849985,166.6882221,0.047894211,0.91076478,161.1443306,0.040530147
173.5,1.968934444,166.9528354,0.047767192,0.907516917,161.2078755,0.040487005
174,1.99285811,167.208491,0.047636988,0.904984677,161.267325,0.04044818
174.5,2.016781776,167.4641466,0.047506783,0.902452436,161.3267744,0.040409354
175,2.038445717,167.710614,0.04737412,0.900575539,161.3824169,0.040374446
175.5,2.060109658,167.9570814,0.047241456,0.898698641,161.4380593,0.040339537
176,2.079437738,168.1941995,0.047107053,0.897421062,161.490166,0.040308174
176.5,2.098765817,168.4313175,0.04697265,0.896143482,161.5422726,0.040276811
177,2.115704383,168.658991,0.046837205,0.895401575,161.5910948,0.04024865
177.5,2.132642948,168.8866644,0.046701759,0.894659668,161.639917,0.040220488
178,2.147160369,169.1048596,0.046565941,0.894399294,161.6856908,0.04019521
178.5,2.16167779,169.3230548,0.046430122,0.89413892,161.7314645,0.040169932
179,2.173763847,169.531795,0.046294563,0.894307146,161.774409,0.040147247
179.5,2.185849904,169.7405351,0.046159004,0.894475371,161.8173534,0.040124562
180,2.195515029,169.9398951,0.046024295,0.895022603,161.8576724,0.040104204
180.5,2.205180153,170.139255,0.045889585,0.895569834,161.8979913,0.040083845
181,2.212454511,170.3293559,0.04575627,0.896450022,161.9358736,0.04006557
181.5,2.219728869,170.5194567,0.045622955,0.897330209,161.9737558,0.040047295
182,2.224661285,170.7004604,0.045491528,0.898500922,162.0093764,0.040030884
182.5,2.2295937,170.881464,0.045360101,0.899671635,162.0449969,0.040014473
183,2.232250422,171.0535679,0.045231007,0.901094039,162.0785178,0.039999727
183.5,2.234907144,171.2256717,0.045101913,0.902516442,162.1120386,0.03998498
184,2.235370456,171.3891031,0.044975544,0.904155206,162.1436093,0.039971719
184.5,2.235833767,171.5525345,0.044849174,0.905793969,162.17518,0.039958458
185,2.234200453,171.7075461,0.04472587,0.907617118,162.204939,0.039946521
185.5,2.232567138,171.8625576,0.044602566,0.909440266,162.2346979,0.039934584
186,2.228946819,172.0094221,0.04448262,0.911419,162.2627727,0.039923825
186.5,2.2253265,172.1562865,0.044362674,0.913397733,162.2908474,0.039913066
187,2.219839866,172.2952924,0.04424633,0.915506222,162.3173557,0.039903355
187.5,2.214353232,172.4342983,0.044129985,0.91761471,162.343864,0.039893644
188,2.207129567,172.5657459,0.044017441,0.919829883,162.3689146,0.039884866
188.5,2.199905902,172.6971935,0.043904897,0.922045055,162.3939652,0.039876087
189,2.191084383,172.8213917,0.04379631,0.924346376,162.4176583,0.039868136
189.5,2.182262864,172.9455898,0.043687723,0.926647697,162.4413513,0.039860185
190,2.171983917,173.0628509,0.043583211,0.929016957,162.4637792,0.03985297
190.5,2.161704969,173.180112,0.043478698,0.931386217,162.4862071,0.039845754
191,2.150114816,173.2907508,0.043378343,0.933807319,162.507455,0.039839192
191.5,2.138524662,173.4013896,0.043277987,0.93622842,162.5287029,0.039832629
192,2.125774043,173.5057207,0.043181836,0.938687182,162.5488494,0.039826646
192.5,2.113023423,173.6100518,0.043085685,0.941145943,162.5689958,0.039820663
193,2.099256855,173.7083849,0.04299376,0.943629912,162.5881134,0.039815194
193.5,2.085490286,173.8067179,0.042901835,0.94611388,162.6072309,0.039809725
194,2.070854893,173.8993589,0.04281413,0.948612155,162.6253864,0.039804713
194.5,2.0562195,173.9919998,0.042726424,0.95111043,162.6435418,0.0397997
195,2.040858074,174.0792475,0.04264291,0.953613503,162.6607969,0.039795093
195.5,2.025496648,174.1664951,0.042559396,0.956116576,162.6780519,0.039790485
196,2.009547415,174.2486403,0.042480024,0.958616184,162.6944635,0.039786238
196.5,1.993598182,174.3307855,0.042400652,0.961115792,162.7108751,0.039781991
197,1.977193637,174.40811,0.042325358,0.963604779,162.726496,0.039778064
197.5,1.960789092,174.4854344,0.042250063,0.966093766,162.7421168,0.039774136
198,1.944055015,174.55821,0.042178764,0.968565964,162.7569955,0.039770493
198.5,1.927320937,174.6309856,0.042107465,0.971038162,162.7718741,0.03976685
199,1.910375589,174.6994737,0.042040071,0.973488277,162.7860556,0.03976346
199.5,1.89343024,174.7679617,0.041972676,0.975938391,162.8002371,0.03976007
200,1.87638375,174.8324126,0.041909082,0.978361905,162.813763,0.039756906
200.5,1.859337259,174.8968634,0.041845488,0.980785418,162.8272889,0.039753741
201,1.842291183,174.9575163,0.041785584,0.983178499,162.8401978,0.039750778
201.5,1.825245107,175.0181691,0.041725679,0.985571579,162.8531067,0.039747815
202,1.808292158,175.0752518,0.041669347,0.987931,162.8654343,0.039745032
202.5,1.791339209,175.1323345,0.041613015,0.99029042,162.8777619,0.039742249
203,1.774563137,175.1860636,0.041560132,0.992613488,162.8895414,0.039739627
203.5,1.757787065,175.2397926,0.041507249,0.994936555,162.9013208,0.039737004
204,1.741262679,175.2903733,0.041457689,0.997221047,162.9125829,0.039734526
204.5,1.724738292,175.340954,0.041408129,0.999505539,162.9238449,0.039732048
205,1.708531599,175.3885806,0.041361764,1.001749646,162.9346181,0.0397297
205.5,1.692324905,175.4362071,0.041315398,1.003993753,162.9453912,0.039727352
206,1.67649336,175.4810631,0.041272097,1.006196027,162.9557022,0.039725121
206.5,1.660661815,175.5259191,0.041228796,1.0083983,162.9660131,0.03972289
207,1.645254655,175.5681775,0.041188428,1.010557611,162.9758865,0.039720765
207.5,1.629847495,175.6104358,0.04114806,1.012716921,162.9857599,0.03971864
208,1.614906142,175.6502594,0.041110496,1.014832417,162.9952188,0.039716611
208.5,1.599964788,175.690083,0.041072931,1.016947912,163.0046776,0.039714581
209,1.585523303,175.7276251,0.041038041,1.019018984,163.0137435,0.039712639
209.5,1.571081817,175.7651671,0.04100315,1.021090055,163.0228094,0.039710697
210,1.5571674,175.8005714,0.040970807,1.023116305,163.0315024,0.039708834
210.5,1.543252982,175.8359757,0.040938463,1.025142554,163.0401953,0.039706971
211,1.52988649,175.8693773,0.04090854,1.027123769,163.048534,0.039705181
211.5,1.516519998,175.9027788,0.040878617,1.029104983,163.0568727,0.039703391
212,1.503716481,175.9343041,0.040850993,1.031041108,163.0648748,0.039701668
212.5,1.490912963,175.9658293,0.040823368,1.032977233,163.0728768,0.039699945
213,1.478682196,175.9955967,0.040797922,1.034868354,163.0805586,0.039698284
