Agemos,Male_L,Male_M,Male_S,Female_L,Female_M,Female_S
218,-1.867436772,21.97443369,0.132250009,-2.312725923,21.31503711,0.147325907
218.5,-1.865113245,22.00050569,0.132240418,-2.315651874,21.32805489,0.147349514
219,-1.862924095,22.02639906,0.132234874,-2.318434592,21.34074026,0.147380365
219.5,-1.860734944,22.05229242,0.13222933,-2.32121731,21.35342563,0.147411215
220,-1.858684392,22.07800274,0.132228066,-2.323849611,21.36577512,0.147449597
220.5,-1.85663384,22.10371305,0.132226801,-2.326481911,21.37812462,0.147487979
221,-1.854730513,22.12923454,0.132230001,-2.328955025,21.39013525,0.147534216
221.5,-1.852827186,22.15475603,0.132233201,-2.331428139,21.40214589,0.147580453
222,-1.851075195,22.18008426,0.132241097,-2.333733306,21.4138147,0.147634871
222.5,-1.849323204,22.20541249,0.132248993,-2.336038473,21.42548351,0.147689289
223,-1.847727406,22.23054274,0.132261809,-2.338166962,21.43680754,0.14775222
223.5,-1.846131607,22.255673,0.132274625,-2.34029545,21.44813156,0.14781515
224,-1.844696451,22.28060065,0.132292587,-2.342238577,21.45910784,0.147886928
224.5,-1.843261294,22.30552831,0.132310549,-2.344181703,21.47008412,0.147958706
225,-1.841990771,22.3302488,0.132333885,-2.345930852,21.4807097,0.148039669
225.5,-1.840720248,22.3549693,0.132357221,-2.34768,21.49133529,0.148120633
226,-1.839617844,22.37947818,0.132386162,-2.349226643,21.50160723,0.148211126
226.5,-1.83851544,22.40398706,0.132415103,-2.350773286,21.51187918,0.148301619
227,-1.83758565,22.42827944,0.132449867,-2.352109006,21.52179454,0.148401987
227.5,-1.83665586,22.45257182,0.132484631,-2.353444725,21.53170989,0.148502355
228,-1.835896953,22.4766448,0.132525495,-2.354561234,21.54126572,0.148612951
228.5,-1.835138046,22.50071778,0.132566359,-2.355677743,21.55082155,0.148723546
229,-1.834555025,22.52456608,0.132613529,-2.356566907,21.56001489,0.148844724
229.5,-1.833972004,22.54841437,0.132660699,-2.35745607,21.56920824,0.148965902
230,-1.833564878,22.57203429,0.132714426,-2.358109929,21.57803615,0.149098022
230.5,-1.833157751,22.59565422,0.132768153,-2.358763788,21.58686406,0.149230142
231,-1.832926686,22.61904189,0.132828682,-2.359174579,21.59532357,0.149373568
231.5,-1.83269562,22.64242956,0.132889211,-2.359585369,21.60378309,0.149516994
232,-1.832639981,22.66558124,0.132956789,-2.359745548,21.61187124,0.149672094
232.5,-1.832584342,22.68873292,0.133024368,-2.359905726,21.61995939,0.149827195
233,-1.832702658,22.71164502,0.133099248,-2.359807992,21.6276732,0.149994344
233.5,-1.832820974,22.73455713,0.133174129,-2.359710258,21.635387,0.150161492
234,-1.8331109,22.75722621,0.133256564,-2.359345361,21.64272413,0.150341113
234.5,-1.833400825,22.7798953,0.133338999,-2.358980464,21.65006126,0.150520734
235,-1.833859115,22.80231808,0.133429248,-2.358347486,21.65701698,0.150713087
